,,ìØ,È¥0,dctìØ,dctÈ¥0,0,dct-0,jpegxl/bpp,,bite
Ô­Í¼,,8.053474513,8.292132925,,,,,6.42,,101290
,,,,,,,,,,
,,,,,,,,,,
8--4--4,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,NSB,3.254519298,3.630152345,3.13249264,3.132208943,17895,24339,2.647,,
,LSB,3.957680728,3.902716722,4.116161525,4.11589792,6178,9627,3.997,,
total,,8.217486169,8.538155211,7.587730524,7.586542555,,,7.101,,
,,,,,,,,,,
,,,,,,,,,,
8--8,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,LSB,7.164941908,7.343416413,7.39731301,7.397116424,3844,3944,6.544,,
total,,8.170228052,8.347139306,7.736389369,7.735552115,,,7.001,,
,,,,,,,,,,
,,,,,,,,,,
8--5--3,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,NSB,4.240396832,4.427198068,4.176974477,4.176712114,10294,18006,3.628,,
,LSB,2.977399916,2.80716689,3.001743092,3.001456725,9190,17241,2.958,,
total,,8.223082892,8.238087851,,,57395,,7.043,,
,,,,,,,,,,
8--3--5,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,NSB,2.330703998,2.699702471,2.150863178,2.150559431,24922,30987,1.725,,
,LSB,4.901917815,4.917067002,5.051577008,5.051332509,4698,6245,4.868,,
total,,8.237907956,8.620492366,7.541516545,7.540327632,,,7.05,,
,,,,,,,,,,
,,,,,,,,,,
8--2--6,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,NSB,1.517305938,1.530967599,1.155307398,1.15417441,30962,39567,1.009,,
,LSB,5.768883727,5.843429161,5.897116907,5.896889678,4125,4796,5.609,,
total,,8.291475808,8.378119653,7.391500664,7.389499779,,,7.075,,
,,,,,,,,,,
,,,,,,,,,,
8--6--2,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,NSB,5.232456526,5.344813117,5.271435993,5.271195985,5905,11646,4.59,,
,LSB,1.989228136,1.584960621,1.729532028,1.728207294,14946,30890,1.919,,
total,,8.226970806,7.933496631,7.340044381,7.33783897,,,6.966,,
,,,,,,,,,,
,,,,,,,,,,
8--3--3,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,N1SB,2.330703998,2.699702471,2.150863178,2.150559431,24922,30987,1.725,,
,N2SB,2.94608823,2.76820257,2.7680269,2.76773576,9162,20607,2.915,,
,LSB,1.989228136,1.584960621,1.729532028,1.728207294,14946,30890,1.919,,
total,,8.271306508,8.056588556,6.987498466,6.984938176,,,7.016,,
,,,,,,,,,,
,,,,,,,,,,
8--2--3--3,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,N1SB,1.517305938,1.530967599,1.155307398,1.15417441,30962,39567,1.009,,
,N2SB,2.829994512,2.700068753,2.519904902,2.519608693,12562,24769,2.67,,
,LSB,2.977399916,2.80716689,3.001743092,3.001456725,9190,17241,2.958,,
total,,8.329986509,8.041926135,7.016031752,7.01367552,,,7.094,,
,,,,,,,,,,
,,,,,,,,,,
8--3--2--3,MSB,1.005286144,1.003722893,0.339076359,0.338435692,37911,47146,0.457,,
,N1SB,2.330703998,2.699702471,2.150863178,2.150559431,24922,30987,1.725,,
,N2SB,1.951071189,1.554036768,1.516666303,1.516349603,16663,34107,1.897,,
,LSB,2.977399916,2.80716689,3.001743092,3.001456725,9190,17241,2.958,,
total,,8.264461247,8.064629022,7.008348932,7.00680145,,,7.037,,
